GeneID	log2Ratio	Probability
1736	-0.519287173903745	0.804704393228205
3251	-0.520692686950209	0.803016718527504
4609	-0.525482004219367	0.813063656980117
4085	-0.525803830895119	0.806972206107273
54931	-0.527498559497651	0.803570486788671
23203	-0.529515228323822	0.808923579979959
51177	-0.531765069751629	0.80581192975054
4670	-0.53654232363031	0.813432835820896
387893	-0.536908229525971	0.809371868572333
9987	-0.541724325013006	0.81129687252782
5441	-0.54920471014149	0.812773587890934
339230	-0.550374987225132	0.800564316228047
80324	-0.552346320124879	0.807921523126417
8568	-0.553987900042856	0.807288645113654
9136	-0.555702866947755	0.806603027266494
5832	-0.556797782470653	0.81285269764253
6637	-0.560969954779497	0.816043457623543
92856	-0.562138864194537	0.815727018617162
23594	-0.568115566421937	0.80375507620906
51373	-0.568278654012007	0.808000632878013
8828	-0.568804489954221	0.808633510890776
192111	-0.569344491266539	0.815305099941986
6432	-0.575040293055045	0.81746743315226
51659	-0.577950305988134	0.81746743315226
3099	-0.578001366875684	0.802542060017931
8502	-0.58141290956713	0.809266388903539
51728	-0.583608482899203	0.81746743315226
4953	-0.590023391581611	0.82276778650915
51154	-0.591036492958621	0.814118453668055
55037	-0.592264638653481	0.804888982648594
54512	-0.59712523242772	0.81662359580191
2171	-0.600157229204594	0.82379621327989
56915	-0.602315839369822	0.812035230209377
23428	-0.602585732099352	0.822029428827593
6009	-0.605940344238071	0.821792099572807
79180	-0.607983329312978	0.816491746215917
54517	-0.611783576966735	0.804256104635831
23212	-0.613188535010803	0.816412636464321
8908	-0.614847468803346	0.80771056378883
79077	-0.621194799137676	0.825061969305416
664	-0.623910430631708	0.823400664521913
6744	-0.624193062496127	0.804018775381045
10102	-0.627455007215658	0.819366067190549
6533	-0.63006605786569	0.804941722482991
11197	-0.635253292612168	0.805627340330151
54496	-0.642627618591787	0.820078054954907
1841	-0.643029860554057	0.825932176572966
51421	-0.64893385994556	0.809899266916302
6382	-0.649152817527793	0.809872896999103
646576	-0.654660980564225	0.810162966088287
26747	-0.655835570189898	0.809661937661516
10105	-0.656748045927587	0.834871578503243
83643	-0.657082036031489	0.830916090923475
401505	-0.669963559353355	0.839776383102157
80273	-0.67036550832091	0.838273297821845
5223	-0.676299991536143	0.841490427720057
7374	-0.684165599340359	0.839011655503402
51562	-0.686482862014135	0.836453773535151
57622	-0.6865832276429	0.807341384948051
25946	-0.68788113057847	0.838167818153051
83999	-0.690728119292386	0.838457887242234
23401	-0.693744582211342	0.805574600495754
84842	-0.695982858837878	0.837192131216708
64782	-0.701657381915409	0.818179420916618
430	-0.704326532020387	0.803174938030695
2078	-0.709481572484634	0.820130794789304
6624	-0.709772811506296	0.838457887242234
5163	-0.71025379665483	0.81628078687833
10769	-0.71184711612701	0.826776013923316
27075	-0.712076230114947	0.827277042350087
54894	-0.713445931866853	0.830626021834291
18	-0.714991966281803	0.838246927904646
147111	-0.717547182026024	0.846078793312589
54997	-0.718420888901377	0.828727387796002
