GeneID	log2Ratio(OU3124T/OU3124C)	Probability
57573	0.666939306513202	0.349889446152187
8563	-0.109710984146052	0.413336569055708
8434	-0.00775853900311926	0.0784932319473656
10309	-0.0514888557302242	0.141104459904007
7652	-0.210448803825981	0.132071401607075
80176	0.728651840938039	0.793129482823707
1387	0.138047938879332	0.436175376152726
55854	-0.352444433590432	0.722267162810764
150275	-0.232563950039328	0.456641320174729
79572	0.241844676848977	0.644555897104028
2634	1.30066446685947	0.901229574502508
1785	-0.0480378739036999	0.275602653292348
83548	0.119638808986364	0.320444372539503
9363	0.887503075439108	0.384673461683654
284661	-0.936576761910049	0.130965863128944
51599	0.102439648328578	0.350941055924068
152926	-0.101899956802898	0.17758722968236
693222	-1.89244626398682	0.646065900879038
401409	-0.574181102031172	0.427600711858923
79618	-0.122894681880034	0.164428625357278
4893	-0.0999240930011335	0.40562476406191
347517	0.0810157828829918	0.093107911341207
84071	0.372478496712862	0.275440867173597
7022	0.0949204031388053	0.117241007388233
1244	-0.0461745563984055	0.076956263819231
1638	0.514978513339358	0.115218680903845
25953	0.448795439601043	0.724882705063906
283693	0.389008864036835	0.152051987272825
439965	-0.600937863208274	0.119829585288249
374403	0.709612185792176	0.278110338132988
339263	-0.123719209902268	0.242005069298388
1969	-0.341770370707767	0.725853421776412
112812	-0.124381167040797	0.427654640565173
2203	1.09705656121572	0.177182764385482
4358	0.145410713279368	0.520142371784501
91373	0.652132546184829	0.72569163565766
114836	1.18256158478174	0.144124467454026
283761	0.463492812177158	0.0876611120099229
79805	0.63963801348391	0.321954376314512
84275	-0.38880012357297	0.61435582160384
10233	0.305909709575039	0.582834492800518
4836	-0.110435067290388	0.43118697082457
23788	-0.210652701381999	0.607318125438171
56971	0.110257212941103	0.109286523216308
100996485	0.590688943207059	0.382138812489888
140465	0.257678115803987	0.664293803591652
84467	-0.339950606067241	0.0839669956317748
90806	0.0758852298009575	0.216496791241978
374395	0.249474519535806	0.642048212263388
282996	0.55552805125825	0.212047672976325
57026	-0.661854030382406	0.731354149813946
57658	0.730225608336677	0.843633716227148
399833	-1.89591895140871	0.25281777490158
9968	0.278615701616242	0.539745456506498
286016	0.200355543818219	0.165291484657283
1259	0.412494929683127	0.208569271423179
56666	0.858359495892048	0.709647845548185
8694	0.0347972683026450	0.152699131747829
26002	0.146258605908429	0.507010731812544
9961	0.28205249931452	0.691716550719948
57379	0.99384350591718	0.553416383540959
5464	-0.0467678966569474	0.292266623523702
11280	0.530769066603988	0.161354689101008
9985	1.23152582084278	0.512511459850078
171392	-0.279395232247477	0.426791781265167
3475	-0.219823380640146	0.566601952219166
29998	0.257417435483294	0.390713476783692
83547	0.734368147265356	0.734832551367093
55109	0.113929610586154	0.358248395620989
8193	-0.427340018854399	0.3880440058243
143241	-0.787027913817924	0.285417677829909
6327	1.54375001018303	0.589440759316184
55814	-0.226496313644417	0.396483848352478
65059	-0.200307236841162	0.339319419727121
117854	0.194691354372069	0.52879792913768
728640	1.24621984173111	0.209000701073181
728689	-0.930600922481017	0.130642290891442
1203	0.239581545952837	0.560588901472254
91664	0.0241249788165409	0.088631828722429
4261	1.43249936721660	0.411098527746319
343637	-1.53631232495093	0.188399935285552
51109	-0.133001907392590	0.463004907512269
100289092	-0.80670070894047	0.720190907620126
55720	-0.494571429679534	0.760098150245376
