GeneID	log2Ratio(OVCAR24T/OVCAR24C)	Probability
57573	0.169215524153307	0.139697663277798
8563	-0.174698892770127	0.624101772502262
8434	0.0577665737195876	0.122425081173152
10309	0.100303354568592	0.209027519029116
7652	-0.306274927247277	0.135599084473306
80176	0.502522817105718	0.776095172193538
1387	-0.179343251834424	0.531963591845425
55854	-0.185114566830345	0.656677489753553
150275	-0.0516335412932922	0.265635811997658
79572	-0.487309215405610	0.804093255974876
2634	1.28808050083065	0.924575504338106
1785	0.0658947185487158	0.445999893543408
8419	0.839319309497916	0.240937882578379
440556	-0.0973590341039713	0.0745462287752169
83548	-0.178892665986974	0.431095970617980
9363	1.83290438355475	0.381327513706286
51599	0.338151155219435	0.763959120668547
284661	0.62265027186643	0.1240485442061
152926	-0.313735171720987	0.328258902432533
693222	-5.38819745401785	0.697663277798478
401409	-1.91546202143310	0.670463618459573
79618	-0.0291217713425520	0.0585511257784638
4893	-0.129453708747365	0.551631447277373
347517	-0.977586678581549	0.359477298131687
84071	0.241005135049212	0.180018097620695
6531	0.0988093390887094	0.0745462287752169
7022	0.202537080482843	0.544631926332038
1244	-0.76406222926032	0.215707670197477
25953	0.133584447296473	0.589929206366104
286002	-1.04002714426648	0.140469473572151
283693	-0.861732284772607	0.280832490551977
1969	-0.525030184292875	0.818571352531005
339263	-0.306377739100275	0.319981902379305
374403	1.68414691723303	0.797945387768138
439965	-1.03472012201948	0.140043647202853
112812	0.00600467327341576	0.101639431521797
2203	0.78914528143675	0.311864587214563
4358	0.156238210533673	0.621972640655773
91373	0.461216526147055	0.676398573481663
114836	-0.0186935733236617	0.0435141321126311
79805	0.190520618739165	0.157529142492149
84275	0.0890747115167263	0.47410443391707
10233	0.322956211195771	0.534092723691915
23788	-0.00899922065351625	0.109144621280673
4836	-0.0168844802041927	0.169611965720977
56971	-0.0150054956806803	0.0435141321126311
100996485	-0.196543283135003	0.30821844892745
140465	0.284790564505618	0.739154734656944
26831	0.312385481343327	0.524378559642306
84467	0.555407392740361	0.581332836535903
90806	-0.263017219190918	0.467983179858413
374395	0.241156964871917	0.703757917709054
282996	-0.204339808432494	0.0768616596582743
57026	-0.189007234568774	0.622079097248097
57658	0.353007000171715	0.714722946718476
399833	-0.864198233388472	0.242029062649705
9968	-0.00850953606826755	0.079443232022143
286016	0.190741749704902	0.257545110980997
1259	0.171260820191694	0.123010592430936
56666	0.577782302777676	0.750545590035663
26002	-0.0393420523408161	0.059908447330601
8694	0.154284979041538	0.608905093947943
9961	0.537325505432804	0.823867567999148
57379	0.0183969232383964	0.0435141321126311
5464	0.0771185407816426	0.496992601266833
11280	0.46774934397357	0.147043168148188
171392	0.0442366842358348	0.119231383403417
9985	-0.658798695780471	0.231117261936445
3475	-0.315756241033514	0.737824027252888
29998	0.301814424759197	0.450071858199819
83547	0.3273043018594	0.596130302869005
55109	-0.0973864327463214	0.328445201469101
8193	-0.395182546895952	0.540027678714004
143241	-0.298620739913094	0.218581998190238
6327	0.883779375829856	0.166178740618513
55814	-0.435424056482505	0.587640389631128
65059	0.0174484979984110	0.0731090647788364
117854	-0.422017635936071	0.221908766700378
728640	1.02116074835578	0.234044818225369
728689	-0.0179225681131198	0.0435141321126311
