GeneID	log2Ratio(ABC124T/ABC124C)	Probability
57573	0.533459225993055	0.217878652687932
8563	-0.114400446112863	0.439688824447914
8434	-0.230540679921758	0.299827124693286
10309	1.00388783205277	0.865742806156592
7652	-0.0224484318502525	0.0665012268570154
80176	0.632430429405619	0.757779388802141
1387	0.0707518812171552	0.250808610305599
55854	-0.38658126945658	0.763941556993085
150275	-0.147456409945394	0.510511933972786
79572	-0.943324517971379	0.869060896720946
2634	1.97087406853100	0.934530448360473
1785	0.0233611387530565	0.154026321659603
8419	-2.07133133199364	0.321464421146554
83548	0.580199723440676	0.778440776265893
9363	1.99067478107465	0.336242471559224
51599	0.213038043851557	0.676862592014276
152926	0.595039033550207	0.705219718938211
693222	-4.40231213683922	0.510623466428731
401409	-0.247178994419397	0.182550747267455
79618	-0.65740441231888	0.41729868391702
4893	-0.0277389606627486	0.163283515503011
347517	-0.00353788197896705	0.0458956056212358
84071	0.572511450706571	0.368977247378987
6531	0.464707040271734	0.183861253624805
7022	1.08605442053535	0.90790207450368
1244	1.12123598655187	0.402604282846308
1638	1.44752025647219	0.257723622574169
25953	0.317760990280714	0.699029667633281
283693	1.48978659974682	0.455637965648004
1969	-1.15064689403037	0.908069373187598
439965	-0.893201503554419	0.140977024314075
374403	1.02333510310446	0.213612536248048
339263	0.127358966323206	0.117109078741914
112812	-0.568228851059257	0.804483604728976
2203	1.56246065129196	0.207757082310952
4358	0.0752866079600191	0.393291322774928
91373	0.507667585835721	0.527994646442115
114836	0.302951922698917	0.0903134062012046
79805	-1.70814832667313	0.384062012045505
84275	-0.580857503193573	0.790960294445684
10233	0.461563997652207	0.518821101940665
4836	-0.0988980677952053	0.421313852331028
23788	-0.254548937185025	0.69875083649342
56971	0.579546515970775	0.46759982154807
100996485	-0.431676519648047	0.339699977693509
140465	0.0521262016508389	0.288785411554762
26831	4.15132065018464	0.484747936649565
90806	0.207931403985311	0.420254293999554
374395	0.321531514159509	0.738763105063573
84467	0.727872119827476	0.813685032344412
282996	-1.64797254520895	0.211214588445238
57026	-0.857744747503715	0.81828574615213
57658	1.27971661486732	0.908877983493196
399833	2.22765193506657	0.555738344858354
9968	0.282531168283128	0.570376979701093
286016	1.14481505704497	0.592181574838278
1259	1.21538939032530	0.627146999776935
56666	0.773347637329898	0.755939103279054
26002	0.597634314776291	0.131719830470667
9961	1.42954743326449	0.880660272139193
8694	0.421777986917444	0.73653245594468
57379	-0.395561809049411	0.119144546062904
5464	-0.361807877037676	0.76441556993085
11280	-0.109016815320496	0.084318536694178
171392	-0.196794961737193	0.420784073165291
9985	0.426065305141135	0.146051751059558
3475	-0.402319965128141	0.699280615659157
29998	0.306634357429787	0.546704215926835
83547	0.321326351679908	0.288534463528887
55109	0.125066212189949	0.401767789426723
8193	-1.61516278690458	0.798209904082088
143241	-0.128329031375840	0.117109078741914
6327	0.664216193516228	0.133950479589561
55814	-0.116480201584552	0.251282623243364
65059	0.175381878373771	0.319875083649342
117854	0.453779897537683	0.470137184920812
728640	0.9544272581826	0.177057773812179
728689	-0.416207960159991	0.094663171983047
1203	0.224003849791285	0.602191612759313
91664	0.160021668377073	0.339225964755744
4261	-0.538558785650693	0.098761989739014
51109	-0.209217012397392	0.64000111532456
100289092	-0.988314815652981	0.497685701539148
55720	-0.558101546751431	0.804985500780727
10919	0.106672551546617	0.439354227080080
10390	0.0916271370058784	0.343687262993531
200403	-0.0915898101759068	0.083983939326344
84649	0.0568630476641328	0.109190274369842
